ticker,edge,horizon,p10,p25,p50,p75,p90,hit_rate,hit_alpha,hit_self,hit_rate_dc,hit_alpha_dc,hit_self_dc,n_obs,n_episodes,sector,industry,name,beta
CRK,0.24272144111820293,60d,-0.1471673532902773,0.1282053565714752,0.2807527798817907,0.4371170409498667,0.5083999140616828,0.8,0.833,0.8,0.7,0.7,0.7,30,10,Energy,Oil & Gas E&P,"Comstock Resources, Inc.",0.8
EAT,0.21842179037717024,60d,-0.2284325537892171,-0.10288779853757266,0.3827313684161274,0.4956284100442698,0.7415901320493986,0.6666666666666666,0.7,0.633,0.6,0.6,0.5,30,10,Consumer Discretionary,,"Brinker International, Inc.",1.05
JBS,0.20194691481560645,60d,0.015058056817988788,0.10037488360639268,0.16870224871905104,0.18099906356153983,0.19660375331536867,0.8571428571428571,0.857,0.857,0.667,0.667,0.667,7,3,Consumer Staples,,JBS N.V.,0.14
WRBY,0.17723744531321295,60d,-0.38718541818908925,-0.18429517450960592,0.2512519307280575,0.43875616304120635,0.5659539861098759,0.7,0.7,0.633,0.6,0.6,0.6,30,10,Healthcare,,Warby Parker Inc.,1.77
ESLT,0.1768062290349991,60d,-0.07327614032463017,0.05836166392697195,0.29460537387763497,0.364628226374418,0.5188226081532314,0.7666666666666667,0.733,0.7,0.9,0.8,0.7,30,10,Industrials,,Elbit Systems Ltd.,0.37
EGO,0.13640099381380955,60d,-0.14344023413157192,0.11243212985363965,0.26036195606943435,0.35607925351838665,0.48159593465597494,0.7666666666666667,0.767,0.733,0.8,0.8,0.7,30,10,Materials,,Eldorado Gold Corporation,0.8
GMED,0.13352569343738085,60d,-0.2203067594522533,-0.057723257463678485,0.1647435716786959,0.20237311747845088,0.3522006258627716,0.6333333333333333,0.6,0.567,0.5,0.4,0.4,30,10,Healthcare,,"Globus Medical, Inc.",0.9
PRMB,0.13077203239973556,60d,-0.13513937216886912,-0.01067151506018893,0.23846491459987085,0.32149143683659714,0.385847737106727,0.6333333333333333,0.8,0.567,0.6,0.6,0.4,30,10,Consumer Staples,,Primo Brands Corporation,0.55
WPM,0.12805017412937503,60d,-0.06086251798114984,0.1043841841708375,0.2392132585281891,0.32343808654285655,0.3772816038695915,0.8333333333333334,0.833,0.733,0.9,0.9,0.7,30,10,Materials,,Wheaton Precious Metals Corp.,0.72
AU,0.12774826941952844,60d,-0.1305854338997294,0.025259201974247192,0.3288400616610412,0.41283655026690763,0.4429793024153944,0.8,0.7,0.633,0.8,0.8,0.7,30,10,Materials,Gold,AngloGold Ashanti plc,0.84
HMY,0.1273782294439295,60d,-0.21619940636306087,0.04350412947628829,0.25099074732202664,0.3540966716406031,0.48747734150881283,0.8333333333333334,0.8,0.633,0.9,0.8,0.6,30,10,Materials,,Harmony Gold Mining Company Limited,0.98
FNV,0.12084588176276068,60d,-0.04751176983709148,0.04029393946745963,0.17128692069226092,0.24065002468698826,0.30439719396942044,0.8,0.767,0.7,0.8,0.8,0.8,30,10,Materials,,Franco-Nevada Corporation,0.54
GH,0.11374991395062595,60d,-0.08184012086449616,-0.002807258916114802,0.2721725474622074,0.45229209647029395,0.6369715231984542,0.7333333333333333,0.867,0.533,0.7,0.8,0.6,30,10,Healthcare,,"Guardant Health, Inc.",1.3
BJ,0.11215461480201072,60d,-0.021634041185808497,0.07551150241593307,0.1308624805299814,0.14975311820398785,0.176614348238442,0.8666666666666667,0.867,0.833,0.7,0.7,0.7,30,10,Consumer Staples,Discount Stores,"BJ's Wholesale Club Holdings, Inc.",0.03
CHYM,0.10792618159249412,60d,-0.17615753377090396,-0.056263083781301515,0.024459099349267488,0.4367638388017211,0.45217023226265496,0.5714285714285714,0.571,0.857,0.333,0.333,0.667,7,3,Technology,Software - Application,"Chime Financial, Inc.",1.48
TPL,0.10624561963937773,60d,-0.0440591559688162,-0.006583881910392553,0.14003119512875117,0.26634690105437475,0.32928323813384963,0.7,0.867,0.7,0.6,0.7,0.6,30,10,Energy,,Texas Pacific Land Corporation,1.03
OKTA,0.10573296965767032,60d,-0.17019109303514895,-0.07488247694663974,0.10963064075947693,0.17825978041660745,0.2304564752597611,0.6,0.533,0.6,0.4,0.4,0.4,30,10,Technology,,"Okta, Inc.",1.25
